0	1.0000,1.0000,1.0000	success
1	1.0000,1.0000,1.0000	success
2	0.4373,0.4762,0.4368	success
3	1.0000,1.0000,1.0000	success
4	0.9333,0.9933,0.9566	success
4	0.9333,0.9933,0.9566	success
5	0.9889,0.6667,0.7721	success
6	0.3270,0.3333,0.3302	success
7	fail	fail
8	0.3023,0.3333,0.3171	success
9	0.2956,0.3333,0.3133	success
10	fail	fail
11	0.6026,0.8551,0.6198	success
12	fail	fail
13	0.8438,0.8453,0.7861	success
14	0.7372,0.5000,0.5768	success
15	fail	fail
16	0.9800,0.8143,0.8683	success
17	0.8333,0.8962,0.8457	success
18	0.9976,0.8000,0.8655	success
19	0.9889,0.8333,0.8832	success
20	0.9815,0.6667,0.7683	success
21	0.9949,0.8857,0.9260	success
22	0.7619,0.8485,0.7168	success
23	1.0000,1.0000,1.0000	success
24	0.9926,0.8833,0.9277	success
25	fail	fail
26	0.3571,0.4000,0.3760	success
27	1.0000,1.0000,1.0000	success
28	1.0000,1.0000,1.0000	success
29	1.0000,1.0000,1.0000	success
30	0.7200,0.8000,0.7500	success
31	1.0000,1.0000,1.0000	success
32	1.0000,1.0000,1.0000	success
33	fail	fail
34	0.7140,0.6795,0.6900	success
35	fail	fail
36	0.9762,0.8571,0.8918	success
37	0.9538,0.8200,0.8572	success
38	1.0000,1.0000,1.0000	success
39	0.5446,0.3690,0.3882	success
40	0.9182,0.8000,0.8152	success
41	0.6410,0.6667,0.6533	success
42	fail	fail
43	0.6377,0.6667,0.6515	success
44	0.6400,0.6667,0.6528	success
45	fail	fail
46	0.9647,0.8600,0.8918	success
47	1.0000,1.0000,1.0000	success
48	1.0000,1.0000,1.0000	success
49	0.9351,0.8333,0.8389	success
50	0.8089,0.6939,0.7227	success
51	0.5275,0.5714,0.5455	success
52	1.0000,1.0000,1.0000	success
53	0.9333,0.9000,0.8933	success
54	1.0000,1.0000,1.0000	success
55	0.9837,0.9184,0.9342	success
56	0.8889,0.9778,0.9218	success
57	0.4286,0.4286,0.4286	success
58	1.0000,1.0000,1.0000	success
59	1.0000,1.0000,1.0000	success
60	1.0000,1.0000,1.0000	success
61	1.0000,1.0000,1.0000	success
62	0.9697,0.8571,0.8932	success
63	0.4700,0.5440,0.4889	success
64	0.9259,0.9762,0.9460	success
65	0.9745,0.6667,0.7530	success
66	fail	fail
67	0.7000,0.8000,0.7333	success
68	1.0000,1.0000,1.0000	success
69	0.5000,0.6667,0.5556	success
70	1.0000,1.0000,1.0000	success
71	0.5571,0.4465,0.4850	success
72	1.0000,1.0000,1.0000	success
73	0.5000,0.6667,0.5556	success
74	1.0000,1.0000,1.0000	success
75	1.0000,1.0000,1.0000	success
76	0.5000,0.6667,0.5556	success
77	0.9000,0.6200,0.6818	success
78	0.5000,0.6667,0.5556	success
79	1.0000,1.0000,1.0000	success
80	1.0000,1.0000,1.0000	success
81	0.6634,0.6314,0.6408	success
82	1.0000,1.0000,1.0000	success
